../../data/IMDB
2024-12-18 18:04:18
Graph(num_nodes=21420, num_edges=108062,
      ndata_schemes={}
      edata_schemes={})
4
model using: slotGAT
Epoch 00124 | Train_Loss: 0.5712 | train Time: 0.2318 | Val_Loss 0.5697 | val Time(s) 0.1090
Epoch 00125 | Train_Loss: 0.5691 | train Time: 0.2318 | Val_Loss 0.5696 | val Time(s) 0.0930
Epoch 00126 | Train_Loss: 0.5708 | train Time: 0.2313 | Val_Loss 0.5695 | val Time(s) 0.0964
Epoch 00127 | Train_Loss: 0.5692 | train Time: 0.2295 | Val_Loss 0.5695 | val Time(s) 0.1043
Epoch 00128 | Train_Loss: 0.5736 | train Time: 0.2299 | Val_Loss 0.5696 | val Time(s) 0.0936
Epoch 00129 | Train_Loss: 0.5696 | train Time: 0.2315 | Val_Loss 0.5697 | val Time(s) 0.0928
Epoch 00130 | Train_Loss: 0.5718 | train Time: 0.2321 | Val_Loss 0.5696 | val Time(s) 0.0921
Epoch 00131 | Train_Loss: 0.5707 | train Time: 0.2316 | Val_Loss 0.5693 | val Time(s) 0.0934
Epoch 00132 | Train_Loss: 0.5704 | train Time: 0.2139 | Val_Loss 0.5693 | val Time(s) 0.0921
Epoch 00133 | Train_Loss: 0.5713 | train Time: 0.2101 | Val_Loss 0.5694 | val Time(s) 0.0962
Epoch 00134 | Train_Loss: 0.5689 | train Time: 0.2344 | Val_Loss 0.5695 | val Time(s) 0.0946
Epoch 00135 | Train_Loss: 0.5691 | train Time: 0.2314 | Val_Loss 0.5693 | val Time(s) 0.1001
Epoch 00136 | Train_Loss: 0.5675 | train Time: 0.2340 | Val_Loss 0.5695 | val Time(s) 0.0922
Epoch 00137 | Train_Loss: 0.5684 | train Time: 0.2412 | Val_Loss 0.5699 | val Time(s) 0.1001
Epoch 00138 | Train_Loss: 0.5684 | train Time: 0.2295 | Val_Loss 0.5702 | val Time(s) 0.0928
Epoch 00139 | Train_Loss: 0.5693 | train Time: 0.2332 | Val_Loss 0.5698 | val Time(s) 0.1281
Epoch 00140 | Train_Loss: 0.5687 | train Time: 0.2304 | Val_Loss 0.5693 | val Time(s) 0.0930
Epoch 00141 | Train_Loss: 0.5689 | train Time: 0.2311 | Val_Loss 0.5690 | val Time(s) 0.0942
Epoch 00142 | Train_Loss: 0.5663 | train Time: 0.2139 | Val_Loss 0.5690 | val Time(s) 0.0921
Epoch 00143 | Train_Loss: 0.5683 | train Time: 0.2363 | Val_Loss 0.5691 | val Time(s) 0.0937
Epoch 00144 | Train_Loss: 0.5660 | train Time: 0.2322 | Val_Loss 0.5690 | val Time(s) 0.0930
Epoch 00145 | Train_Loss: 0.5668 | train Time: 0.2173 | Val_Loss 0.5688 | val Time(s) 0.0939
