../../data/PubMed_NC
2024-12-18 18:01:05
Graph(num_nodes=63109, num_edges=421033,
      ndata_schemes={}
      edata_schemes={})
4
model using: slotGAT
Epoch 00140 | Train_Loss: 1.3841 | train Time: 0.4778 | Val_Loss 1.7412 | val Time(s) 0.2282
Epoch 00141 | Train_Loss: 1.4067 | train Time: 0.4639 | Val_Loss 1.7428 | val Time(s) 0.2363
Epoch 00142 | Train_Loss: 1.3798 | train Time: 0.4751 | Val_Loss 1.7455 | val Time(s) 0.2450
Epoch 00143 | Train_Loss: 1.3766 | train Time: 0.4741 | Val_Loss 1.7554 | val Time(s) 0.2638
Epoch 00144 | Train_Loss: 1.3691 | train Time: 0.4600 | Val_Loss 1.7542 | val Time(s) 0.2376
Epoch 00145 | Train_Loss: 1.3750 | train Time: 0.4765 | Val_Loss 1.7472 | val Time(s) 0.2382
Epoch 00146 | Train_Loss: 1.3614 | train Time: 0.4754 | Val_Loss 1.7383 | val Time(s) 0.2341
Epoch 00147 | Train_Loss: 1.3874 | train Time: 0.4694 | Val_Loss 1.7344 | val Time(s) 0.2377
Epoch 00148 | Train_Loss: 1.3981 | train Time: 0.4785 | Val_Loss 1.7406 | val Time(s) 0.2344
Epoch 00149 | Train_Loss: 1.3862 | train Time: 0.4843 | Val_Loss 1.7527 | val Time(s) 0.2338
Epoch 00150 | Train_Loss: 1.3774 | train Time: 0.4765 | Val_Loss 1.7571 | val Time(s) 0.2340
Epoch 00151 | Train_Loss: 1.3897 | train Time: 0.4832 | Val_Loss 1.7515 | val Time(s) 0.2414
