../../data/ACM
2024-12-18 18:04:15
Graph(num_nodes=10942, num_edges=558748,
      ndata_schemes={}
      edata_schemes={})
4
model using: slotGAT
Epoch 00068 | Train_Loss: 0.6456 | train Time: 0.1433 | Val_Loss 0.5647 | val Time(s) 0.0779
Epoch 00069 | Train_Loss: 0.6238 | train Time: 0.0890 | Val_Loss 0.5460 | val Time(s) 0.0654
Epoch 00070 | Train_Loss: 0.6141 | train Time: 0.1487 | Val_Loss 0.5469 | val Time(s) 0.0636
Epoch 00071 | Train_Loss: 0.6303 | train Time: 0.1312 | Val_Loss 0.5461 | val Time(s) 0.0676
Epoch 00072 | Train_Loss: 0.6163 | train Time: 0.1381 | Val_Loss 0.5562 | val Time(s) 0.0663
Epoch 00073 | Train_Loss: 0.5966 | train Time: 0.1219 | Val_Loss 0.5900 | val Time(s) 0.0639
Epoch 00074 | Train_Loss: 0.6358 | train Time: 0.1168 | Val_Loss 0.5820 | val Time(s) 0.0636
Epoch 00075 | Train_Loss: 0.6362 | train Time: 0.1313 | Val_Loss 0.5502 | val Time(s) 0.0652
Epoch 00076 | Train_Loss: 0.6038 | train Time: 0.1419 | Val_Loss 0.5403 | val Time(s) 0.0640
Epoch 00077 | Train_Loss: 0.5814 | train Time: 0.1385 | Val_Loss 0.5543 | val Time(s) 0.0647
Epoch 00078 | Train_Loss: 0.6088 | train Time: 0.1425 | Val_Loss 0.5550 | val Time(s) 0.0661
Epoch 00079 | Train_Loss: 0.5856 | train Time: 0.1421 | Val_Loss 0.5482 | val Time(s) 0.0776
Epoch 00080 | Train_Loss: 0.6041 | train Time: 0.1265 | Val_Loss 0.5471 | val Time(s) 0.0756
Epoch 00081 | Train_Loss: 0.5918 | train Time: 0.0898 | Val_Loss 0.5620 | val Time(s) 0.0641
Epoch 00082 | Train_Loss: 0.6072 | train Time: 0.1432 | Val_Loss 0.5584 | val Time(s) 0.0677
Epoch 00083 | Train_Loss: 0.5975 | train Time: 0.1507 | Val_Loss 0.5441 | val Time(s) 0.0634
Epoch 00084 | Train_Loss: 0.5934 | train Time: 0.1465 | Val_Loss 0.5353 | val Time(s) 0.0646
Epoch 00085 | Train_Loss: 0.5685 | train Time: 0.1289 | Val_Loss 0.5371 | val Time(s) 0.0750
Epoch 00086 | Train_Loss: 0.5811 | train Time: 0.1305 | Val_Loss 0.5387 | val Time(s) 0.0722
